Input Sequence: [1069, 521, 1258, 555, 419], Output Word: 464
Input Sequence: [88, 394, 106, 948, 555], Output Word: 1069
Input Sequence: [654, 618, 1031, 88, 819], Output Word: 1069
Input Sequence: [419, 1500, 1412, 229, 559], Output Word: 25
Input Sequence: [370, 1148, 345, 1111, 419], Output Word: 515
Input Sequence: [898, 88, 375, 550, 1143], Output Word: 948
Input Sequence: [1156, 660, 726, 1521, 740], Output Word: 260
Input Sequence: [1437, 1003, 1406, 88, 224], Output Word: 1069
Input Sequence: [850, 721, 492, 419, 449], Output Word: 1069
Input Sequence: [696, 1085, 77, 409, 1096], Output Word: 88
Input Sequence: [893, 418, 88, 1431, 1069], Output Word: 1279
Input Sequence: [296, 258, 363, 830, 363], Output Word: 830
Input Sequence: [484, 1069, 324, 1498, 1363], Output Word: 62
Input Sequence: [586, 948, 555, 721, 1115], Output Word: 419
Input Sequence: [726, 1521, 740, 260, 1258], Output Word: 27
Input Sequence: [1136, 1406, 88, 1147, 1069], Output Word: 327
Input Sequence: [585, 1120, 1258, 1357, 1304], Output Word: 419
Input Sequence: [721, 1115, 419, 708, 1096], Output Word: 948
Input Sequence: [1059, 419, 67, 1096, 88], Output Word: 416
Input Sequence: [948, 961, 1059, 88, 548], Output Word: 1069
Input Sequence: [484, 359, 1500, 599, 678], Output Word: 696
Input Sequence: [1069, 461, 721, 841, 726], Output Word: 1503
Input Sequence: [908, 666, 586, 948, 1160], Output Word: 721
Input Sequence: [170, 1513, 665, 721, 841], Output Word: 726
Input Sequence: [948, 1139, 238, 948, 602], Output Word: 1059
Input Sequence: [419, 1046, 1069, 1279, 425], Output Word: 346
Input Sequence: [960, 586, 948, 779, 721], Output Word: 841
Input Sequence: [850, 841, 1071, 1059, 88], Output Word: 727
Input Sequence: [521, 971, 1195, 1124, 258], Output Word: 419
Input Sequence: [1069, 278, 885, 418, 88], Output Word: 1160
Input Sequence: [1003, 1406, 88, 1352, 1069], Output Word: 1160
Input Sequence: [398, 779, 666, 586, 948], Output Word: 850
Input Sequence: [1513, 476, 721, 841, 726], Output Word: 1059
Input Sequence: [819, 1338, 369, 258, 419], Output Word: 1306
Input Sequence: [1135, 586, 1333, 721, 654], Output Word: 1401
Input Sequence: [88, 1046, 1069, 1279, 585], Output Word: 419
Input Sequence: [1069, 585, 971, 88, 1343], Output Word: 1069
Input Sequence: [838, 1069, 521, 721, 1104], Output Word: 1135
Input Sequence: [1304, 419, 893, 640, 87], Output Word: 1386
Input Sequence: [1345, 318, 1513, 313, 52], Output Word: 726
Input Sequence: [1406, 88, 484, 1069, 246], Output Word: 1148
Input Sequence: [948, 170, 555, 1135, 586], Output Word: 1333
Input Sequence: [1069, 709, 1135, 586, 1333], Output Word: 52
Input Sequence: [1496, 106, 948, 270, 721], Output Word: 418
Input Sequence: [233, 550, 744, 1107, 1030], Output Word: 1003
Input Sequence: [88, 53, 1069, 948, 1080], Output Word: 1453
Input Sequence: [504, 670, 419, 571, 721], Output Word: 741
Input Sequence: [345, 52, 726, 258, 88], Output Word: 157
Input Sequence: [1071, 1258, 212, 179, 1521], Output Word: 88
Input Sequence: [212, 1069, 948, 659, 1411], Output Word: 273
Input Sequence: [586, 764, 1521, 948, 1080], Output Word: 1135
Input Sequence: [721, 588, 1258, 27, 419], Output Word: 853
Input Sequence: [494, 550, 269, 88, 708], Output Word: 1069
Input Sequence: [84, 74, 1367, 885, 841], Output Word: 461
Input Sequence: [88, 994, 464, 1069, 948], Output Word: 1476
Input Sequence: [456, 555, 1258, 626, 1052], Output Word: 1521
Input Sequence: [1003, 1406, 88, 248, 1069], Output Word: 410
Input Sequence: [948, 521, 1059, 88, 1209], Output Word: 550
Input Sequence: [1310, 721, 602, 1323, 505], Output Word: 1031
Input Sequence: [1401, 1059, 88, 272, 550], Output Word: 1150
Input Sequence: [88, 526, 1069, 318, 1496], Output Word: 106
Input Sequence: [268, 721, 841, 726, 1059], Output Word: 88
Input Sequence: [728, 1135, 586, 1333, 721], Output Word: 948
Input Sequence: [948, 555, 1003, 1406, 88], Output Word: 560
Input Sequence: [1353, 599, 1195, 1124, 258], Output Word: 6
Input Sequence: [612, 1069, 1452, 673, 1111], Output Word: 663
Input Sequence: [1258, 555, 1123, 419, 464], Output Word: 482
Input Sequence: [5, 1069, 1155, 1438, 960], Output Word: 586
Input Sequence: [770, 1453, 88, 272, 1069], Output Word: 1359
Input Sequence: [948, 1080, 721, 468, 88], Output Word: 315
Input Sequence: [369, 258, 419, 1306, 1338], Output Word: 1371
Input Sequence: [146, 1135, 586, 948, 521], Output Word: 721
Input Sequence: [1080, 238, 948, 961, 1059], Output Word: 88
Input Sequence: [1211, 1438, 624, 586, 948], Output Word: 20
Input Sequence: [942, 1453, 88, 1379, 1069], Output Word: 1079
Input Sequence: [586, 45, 1069, 850, 1258], Output Word: 1357
Input Sequence: [419, 84, 134, 1069, 835], Output Word: 1003
Input Sequence: [1023, 1116, 1290, 1031, 1130], Output Word: 1195
Input Sequence: [419, 347, 1069, 779, 52], Output Word: 1238
Input Sequence: [248, 1069, 1279, 1156, 721], Output Word: 811
Input Sequence: [490, 948, 942, 1003, 1406], Output Word: 88
Input Sequence: [88, 942, 660, 1135, 586], Output Word: 948
Input Sequence: [88, 1107, 1069, 278, 1510], Output Word: 718
Input Sequence: [248, 1069, 709, 1003, 1406], Output Word: 88
Input Sequence: [726, 258, 88, 548, 1069], Output Word: 948
Input Sequence: [931, 1276, 1453, 88, 1308], Output Word: 1069
Input Sequence: [1059, 88, 1306, 770, 948], Output Word: 1107
Input Sequence: [605, 1003, 1406, 88, 1352], Output Word: 1069
Input Sequence: [258, 1513, 665, 721, 841], Output Word: 726
Input Sequence: [1452, 971, 779, 721, 1049], Output Word: 1193
Input Sequence: [1521, 88, 413, 1069, 664], Output Word: 1003
Input Sequence: [1052, 1521, 88, 907, 801], Output Word: 1069
